"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DBLOAMIM_00085",444.067968699533,0.00529440275347801,0.178077883839972,0.0297308269803777,0.97628172640818,0.989203126628137
"DBLOAMIM_00086",333.938820703465,-0.171973413922766,0.210869989160479,-0.815542385179754,0.414761913277088,0.617605261757367
"DBLOAMIM_00087",858.663923241739,0.367316902168964,0.163555404836739,2.24582552032211,0.0247151859877993,0.0856961897785702
"DBLOAMIM_00088",221.312332005401,0.410093982383649,0.250623601656202,1.6362943460776,0.1017779988399,0.246894991405461
"DBLOAMIM_00089",71.7709458924593,-0.246935388480604,0.345432287232161,-0.714859026234111,0.474696157519468,0.671885848585733
"DBLOAMIM_00091",428.998285964835,-1.19278040300055,0.234521552982142,-5.08601613725191,3.65662954030868e-07,6.13826212166483e-06
"DBLOAMIM_00092",695.551567628156,0.195182331864765,0.24035664334823,0.812052994025146,0.416761223840708,0.619483330360628
"DBLOAMIM_00093",3324.78277224123,0.0374675520401875,0.233571091094731,0.16041176955838,0.872556718908583,0.94329228019457
"DBLOAMIM_00094",956.354447599837,0.0516478962170224,0.166224543233055,0.310711614617642,0.756019866822038,0.868457128037359
"DBLOAMIM_00095",2024.27782687536,-0.0931300262772533,0.155551968005019,-0.59870683393892,0.549368399187243,0.732685184932986
"DBLOAMIM_00096",1803.85955758855,0.192742581855913,0.146277186774496,1.31765305380838,0.18761981678925,0.381296770520848
"DBLOAMIM_00097",861.461025226818,0.241022487303647,0.203429688443595,1.18479504711268,0.236098491352872,0.439236684023469
"DBLOAMIM_00098",263.72711694249,0.50820270657331,0.204928361932337,2.47990420545648,0.0131417683956652,0.0534587606143536
"DBLOAMIM_00099",365.8276044829,-0.00485881677318303,0.176275070146521,-0.0275638340075222,0.978010026979226,0.989558084568207
"DBLOAMIM_00100",80.8450410139165,0.746230950129583,0.322281454910017,2.3154635141446,0.0205875790827063,0.0748045081244655
"DBLOAMIM_00101",112.159707556832,-0.0631245548040439,0.26716278329375,-0.23627750102692,0.813217344311363,0.905611327972133
"DBLOAMIM_00102",148.320229567823,0.354071549483911,0.252782028986357,1.40069905643103,0.161304084991985,0.34131402185699
"DBLOAMIM_00103",309.302037932839,0.329527164511731,0.190639196375823,1.72853836344393,0.0838917492367793,0.215991231675062
"DBLOAMIM_00104",304.201329370512,1.02020983783436,0.187190250507989,5.45012272308927,5.03350740792424e-08,9.67509286500247e-07
"DBLOAMIM_00105",792.148979032096,1.10090722896998,0.177575056550412,6.19967269252955,5.65807037384943e-10,1.45377767360743e-08
"DBLOAMIM_00106",75.6501243378808,1.17039139238292,0.31425766917212,3.72430494843991,0.000195854069262414,0.00157559280000882
"DBLOAMIM_00107",780.964197247668,1.50692309993037,0.185228444375282,8.13548429353142,4.10294830915447e-16,2.02573016518646e-14
"DBLOAMIM_00108",576.159405667844,1.03276048888198,0.202416465244283,5.102156524844,3.3580483160585e-07,5.67487628176866e-06
"DBLOAMIM_00109",1597.85606436306,0.861466488412211,0.15148004079201,5.68699667565476,1.29292972466964e-08,2.69057607166789e-07
"DBLOAMIM_00110",720.040585087586,0.803990531229533,0.206948020775729,3.88498777720045,0.00010233503673953,0.000920284366107628
"DBLOAMIM_00111",1925.34102968623,0.822214535358733,0.156488405239839,5.25415626862949,1.48704584023546e-07,2.65512036321793e-06
"DBLOAMIM_00112",383.266463448473,0.636278782669542,0.270216088229469,2.35470355165978,0.0185374878144537,0.0692542942385676
"DBLOAMIM_00113",314.654861391983,-0.36089435564755,0.183794040958044,-1.96358028675116,0.0495787853599815,0.146010972557232
"DBLOAMIM_00114",464.201838396236,0.263682776512086,0.167062220087616,1.57835072689563,0.114485058220701,0.267663302321006
"DBLOAMIM_00116",349.117509799941,0.879506278859439,0.227545112250691,3.8651952140834,0.000111000383260824,0.000978149089173681
"DBLOAMIM_00117",282.01941850235,0.619961518836083,0.188355787982672,3.29143864107387,0.000996763584760069,0.00635405242133127
"DBLOAMIM_00118",278.574639522087,-0.0377045843476586,0.257597665111595,-0.146370054756997,0.88362926552924,0.947474440811717
"DBLOAMIM_00119",4723.72991625328,-1.01218238759419,0.233546125031124,-4.33397208992144,1.46442749069987e-05,0.000171508298678246
"DBLOAMIM_00120",556.479188235997,-0.767280164257388,0.28801463960179,-2.66403181907083,0.00772102590838506,0.035412647062502
"DBLOAMIM_00121",1349.62498285507,0.466550581181915,0.202103118768247,2.30847789002658,0.0209725711915679,0.0757660462846027
"DBLOAMIM_00122",115.535511138631,-0.225795856282789,0.26509852806708,-0.851743153495195,0.394356663707816,0.6030869519247
"DBLOAMIM_00123",23.4598097616537,1.1571755012124,0.524958235895329,2.20431916691203,0.0275019059257743,0.0929527504981203
"DBLOAMIM_00124",46.9949595226955,-0.0487108872089057,0.415784950238663,-0.117154041244026,0.906737985817517,0.959716792050655
"DBLOAMIM_00125",95.9354156001525,-0.621677897274402,0.325796407253055,-1.90817910644278,0.0563680711082931,0.159558200294207
"DBLOAMIM_00126",317.936194267079,-0.436057319833622,0.198856342819032,-2.19282580405521,0.0283199320444575,0.0950794518505919
"DBLOAMIM_00127",1567.62637844157,-0.11078603820408,0.205837151357298,-0.53822178102229,0.5904239445827,0.760843138413121
"DBLOAMIM_00128",702.246011498322,-0.120100026803591,0.215453404829846,-0.557429235794348,0.577234195173626,0.751150234339633
"DBLOAMIM_00129",302.269305246043,-0.407707414740885,0.198555451268446,-2.05336802458103,0.0400368980139817,0.124400712239288
"DBLOAMIM_00130",348.262757781906,-0.431925405333347,0.235056581141409,-1.83753802270059,0.0661305086972404,0.181477424048737
"DBLOAMIM_00131",199.582392267649,-0.101555767631613,0.224699053289958,-0.451963486915818,0.651295286823296,0.804641357165841
"DBLOAMIM_00132",706.510097807343,-0.39686408982338,0.168741934543769,-2.35189960869175,0.0186778151604185,0.0696450785041903
"DBLOAMIM_00133",3194.58996728433,0.333641108148488,0.15036109207044,2.21893246154521,0.0264913196783979,0.090509013500958
"DBLOAMIM_00134",895.779854845046,0.453452064293911,0.167534397888029,2.70662067020394,0.00679718745532967,0.0319315634561942
"DBLOAMIM_00135",187.045664073807,0.870315710795115,0.230283581498282,3.77932158746458,0.000157256221268545,0.00131195906021995
